,papel,cotacao,pByL,pByVp,psr,dividendYield,pByAtivo,pByCapitalGiro,pByEbit,pByAtivoCircLiq,evByEbit,evByEbitda,margemEbit,margemLiq,liqCorr,roic,roe,liqDoisMeses,patrimonioLiquido,dividaBrutaByPatrimonio,crescRec,setor,industria,nomeEmpresaLongo,nomeEmpresa,smallcap,evByEbitRanking,roicRanking,magicRanking
643,AFLU5,5.03,8.93,2.14,2.911,0.0,1.875,9.63,8.32,11.92,7.38,7.05,34.98,32.59,3.27,31.18,23.93,0.0,44270000.0,0.0,8.61,,,,,True,244,62,306
451,JHSF3,5.05,3.45,0.78,1.726,7.82,0.412,2.89,3.05,-1.9,4.02,3.83,56.55,48.88,2.42,15.07,22.48,28983100.0,4464560000.0,0.44,54.34,Real Estate,Real Estate—Diversified,JHSF Participações S.A.,JHSF PART   ON      NM,False,100,207,307
690,BEEF3,10.96,11.11,10.18,0.247,8.91,0.332,1.02,3.29,-1.18,6.31,5.39,7.49,2.22,1.9,22.35,91.55,72897900.0,654131000.0,20.49,19.5,Consumer Defensive,Farm Products,Minerva S.A.,MINERVA     ON      NM,False,191,116,307
466,EUCA3,13.0,3.75,0.68,0.531,3.3,0.383,2.8,2.9,-8.73,3.81,2.76,18.29,14.89,1.54,14.81,18.0,91751.0,1783070000.0,0.27,17.5,Industrials,Building Products & Equipment,Eucatex S.A. Indústria e Comércio,EUCATEX     ON      N1,False,95,213,308
510,SAPR4,4.09,5.25,0.79,1.188,5.44,0.422,9.16,2.92,-1.3,4.4,3.71,40.65,22.63,1.48,15.8,15.05,12882800.0,7826340000.0,0.53,7.63,Utilities,Utilities—Regulated Water,Companhia de Saneamento do Paraná - SANEPAR,SANEPAR     PN      N2,False,120,189,309
644,VIVO3,65.79,8.99,2.69,1.366,0.0,1.175,-29.21,6.21,-4.74,6.65,6.65,22.01,15.2,0.89,23.92,29.88,0.0,9816290000.0,0.35,13.06,,,,,False,213,96,309
437,SUZB6,17.88,2.82,1.61,0.594,0.0,0.205,1.08,1.48,-0.35,5.03,3.52,40.23,21.08,2.95,17.42,57.22,0.0,15075500000.0,5.28,42.43,,,,,False,142,167,309
509,SAPR11,20.43,5.24,0.79,1.186,5.34,0.422,9.15,2.92,-1.3,4.4,3.71,40.65,22.63,1.48,15.8,15.05,28907600.0,7826340000.0,0.53,7.63,Utilities,Utilities—Regulated Water,Companhia de Saneamento do Paraná - SANEPAR,SANEPAR     UNT     N2,False,119,191,310
422,ESCE3,172.0,2.27,0.73,0.193,0.0,0.153,1.56,1.29,-0.34,3.69,3.1,14.96,8.47,1.42,14.39,32.14,0.0,1382910000.0,1.73,13.47,,,,,False,92,220,312
630,WHRL4,6.23,8.59,3.73,0.826,10.37,1.033,9.6,9.09,17.92,7.97,6.78,9.09,9.63,1.16,35.93,43.37,138119.0,2511990000.0,0.44,6.66,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Whirlpool S.A.,WHIRLPOOL   PN,False,272,42,314
682,PARD3,17.37,10.65,2.61,1.146,1.65,0.985,67.15,6.01,-3.36,6.18,4.7,19.05,10.78,1.05,20.69,24.5,7490790.0,871671000.0,0.37,14.64,Healthcare,Diagnostics & Research,Instituto Hermes Pardini S.A.,IHPARDINI   ON      NM,False,188,126,314
454,TKNO4,70.0,3.51,0.86,0.71,5.11,0.599,1.64,4.44,1.83,4.64,4.22,15.99,20.22,2.37,16.14,24.46,1654.24,240202000.0,0.14,22.88,Basic Materials,Steel,Tekno S.A. Indústria e Comércio,TEKNO       PN,True,130,185,315
650,AFLU3,5.15,9.15,2.19,2.981,0.0,1.919,9.86,8.52,12.21,7.57,7.24,34.98,32.59,3.27,31.18,23.93,0.0,44270000.0,0.0,8.61,,,,,True,252,63,315
559,PTBL3,8.47,6.37,3.35,0.694,12.17,0.562,4.56,4.11,-1.55,5.72,4.61,16.89,10.89,1.36,18.48,52.51,7812460.0,373390000.0,2.2,14.03,Industrials,Building Products & Equipment,PBG S.A.,PORTOBELLO  ON      NM,False,167,150,317
447,SUZB5,21.13,3.33,1.91,0.702,0.0,0.242,1.28,1.75,-0.41,5.3,3.71,40.23,21.08,2.95,17.42,57.22,0.0,15075500000.0,5.28,42.43,,,,,False,152,166,318
737,BRBI11,18.37,13.91,2.51,8.512,0.0,0.633,2.46,18.29,2.65,9.55,9.42,46.53,61.19,1.35,246.07,18.07,3449410.0,767206000.0,2.65,-81.48,,,BR Advisory Partners Participações S.A.,BR PARTNERS UNT     N2,False,317,2,319
715,TECN3,2.05,12.53,0.5,0.505,3.95,0.25,0.57,2.59,2.11,2.94,3.73,19.53,4.03,3.41,13.08,3.97,3120680.0,323227000.0,0.42,-4.23,Consumer Cyclical,Luxury Goods,Technos S.A.,TECHNOS     ON      NM,False,75,245,320
483,DEXP3,8.8,4.2,1.81,0.554,3.19,0.695,2.75,4.64,192.4,5.49,4.79,11.93,15.56,1.88,17.46,43.15,3327570.0,456531000.0,0.46,31.29,Basic Materials,Chemicals,Dexxos Participações S.A.,DEXXOS PAR  ON      N1,False,160,163,323
457,DMMO3,0.94,3.56,-0.69,3.023,0.0,2.202,-3.98,8.85,-0.58,8.58,5.86,34.17,84.95,0.41,38.44,-19.49,15447800.0,-690833000.0,-0.0,-19.02,Energy,Oil & Gas E&P,Dommo Energia S.A.,DOMMO       ON,True,291,32,323
400,EBEN4,17.51,1.53,0.53,0.106,0.0,0.095,0.76,0.88,-0.22,3.4,2.87,12.03,6.91,1.49,13.42,34.61,0.0,1290520000.0,2.05,11.4,,,,,False,86,238,324
297,LATS3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.27,11.74,1.3,1.67,11.63,1.84,0.0,680646000.0,0.39,15.37,,,,,False,24,303,327
664,VIVO4,71.8,9.81,2.93,1.491,0.0,1.282,-31.87,6.78,-5.17,7.22,7.22,22.01,15.2,0.89,23.92,29.88,0.0,9816290000.0,0.35,13.06,,,,,False,235,95,330
681,ASAI3,12.71,10.63,6.19,0.409,0.87,0.749,133.74,5.31,-1.51,7.01,5.78,7.69,3.84,1.01,22.44,58.21,124546000.0,2766000000.0,2.9,17.72,Consumer Defensive,Grocery Stores,Sendas Distribuidora S.A.,ASSAI       ON      NM,False,220,115,335
719,AVIL3,0.93,12.97,4.16,2.338,0.0,2.227,3.89,10.0,9.02,9.4,9.4,23.38,18.01,5.14,40.99,32.03,0.0,1106590000.0,0.52,1.74,,,,,False,313,23,336
706,FIBR3,66.3,12.03,2.59,2.01,7.59,0.899,9.59,5.13,-2.54,7.17,5.29,39.18,16.75,1.46,22.95,21.57,0.0,14149000000.0,1.46,22.71,,,Fibria Celulose S.A.,,False,230,106,336
477,REDE4,2.9,4.11,1.65,0.418,0.0,0.254,3.36,1.99,-0.52,4.47,3.7,21.0,13.89,1.35,14.7,40.2,0.0,3706950000.0,2.48,11.65,,,,,False,123,219,342
609,EQMA3B,40.5,7.87,2.13,1.319,11.4,0.871,7.31,5.64,-4.22,6.63,5.63,23.38,16.76,1.45,19.75,27.07,25513.2,3119880000.0,0.71,9.36,Utilities,Utilities—Regulated Electric,Equatorial Maranhão Distribuidora de Energia S.A.,EQUATORIAL DISTRIB,False,208,135,343
802,BMOB3,13.78,18.56,1.23,4.19,0.0,1.073,1.74,13.33,1.91,6.63,4.59,31.43,22.57,10.19,18.92,6.61,12840000.0,1021590000.0,0.0,0.0,Communication Services,Entertainment,Bemobi Mobile Tech S.A.,BEMOBI TECH ON      NM,False,209,143,352
680,LEVE4,44.49,10.63,3.32,1.655,0.0,1.956,6.95,8.45,13.78,8.37,7.28,19.58,15.59,2.03,29.23,31.22,0.0,1719860000.0,0.14,7.79,,,,,False,287,66,353
615,PCAR3,23.97,8.05,0.47,0.126,9.05,0.131,4.88,1.8,-0.43,2.01,1.27,7.01,1.87,1.08,11.57,5.88,52220500.0,13649000000.0,0.66,3.2,Consumer Cyclical,Department Stores,Companhia Brasileira de Distribuição,P.ACUCAR-CBDON      NM,False,49,305,354
364,TPRC3,113.5,0.14,0.01,0.016,0.0,0.007,0.13,0.08,-0.03,0.01,0.0,19.44,11.11,1.34,9.67,8.33,0.0,22847800000.0,0.14,2.29,,,,,False,1,354,355
376,MGEL4,13.45,0.37,-0.29,0.095,0.0,0.131,0.35,0.78,-0.16,7.37,6.19,12.21,25.79,2.44,22.45,-77.44,28645.5,-271646000.0,-2.75,14.84,Basic Materials,Steel,Mangels Industrial S.A.,MANGELS INDLPN,True,243,113,356
406,HBTS5,45.0,1.79,0.79,1.513,0.36,0.306,-4.62,2.57,-0.59,2.93,2.91,58.87,84.57,0.59,12.18,43.93,2826.51,522913000.0,0.15,51.9,Real Estate,Real Estate Services,Companhia Habitasul de Participações,HABITASUL   PNA,False,74,283,357
410,PLIM4,0.59,1.89,0.03,0.02,0.0,0.016,-0.51,0.17,-0.05,1.5,0.65,11.93,1.55,0.8,10.95,1.72,0.0,6812390000.0,0.28,66.63,,,,,False,33,325,358
765,BLAU3,27.78,15.32,3.05,3.647,0.89,2.141,3.68,10.74,4.97,9.56,9.14,33.97,23.7,4.95,36.02,19.88,8597260.0,1636290000.0,0.23,22.15,Healthcare,Drug Manufacturers—Specialty & Generic,Blau Farmacêutica S.A.,BLAU        ON      NM,False,319,40,359
617,CPRE3,18.23,8.07,1.77,3.266,0.0,0.86,-219.35,5.6,-2.44,6.03,4.72,58.34,41.14,0.97,17.27,21.93,0.0,6118670000.0,0.34,11.88,,,,,False,183,177,360
692,KEPL3,56.72,11.13,3.73,1.404,18.74,1.69,13.36,8.45,26.26,8.11,7.12,16.61,12.61,1.26,24.84,33.5,12354900.0,461630000.0,0.13,18.0,Industrials,Farm & Heavy Construction Machinery,Kepler Weber S.A.,KEPLER WEBERON,False,276,85,361
589,CGAS5,116.25,7.27,13.94,1.316,10.48,1.255,-39.54,6.03,-2.2,8.41,7.18,21.8,18.1,0.91,26.29,191.74,761319.0,1105220000.0,6.29,18.45,Utilities,Utilities—Regulated Gas,Companhia de Gás de São Paulo - COMGÁS,COMGAS      PNA,False,288,73,361
361,PALF11,125.0,0.09,0.06,0.008,0.0,0.006,0.32,0.06,-0.01,3.23,2.77,12.99,8.21,1.07,12.19,70.49,0.0,1694930000.0,4.1,11.18,,,,,False,83,279,362
365,PALF5,236.6,0.17,0.12,0.014,0.0,0.011,0.6,0.11,-0.02,3.28,2.82,12.99,8.21,1.07,12.19,70.49,0.0,1694930000.0,4.1,11.18,,,,,False,84,280,364
699,TEMP3,4.15,11.64,4.92,0.98,0.0,2.014,9.98,10.6,19.39,9.55,7.74,9.25,8.42,1.41,34.49,42.27,0.0,135736000.0,0.23,-13.11,,,,,True,318,47,365
634,LPSB3,3.28,8.71,2.21,2.181,0.0,1.102,4.89,9.08,-11.03,6.65,4.98,24.02,33.43,2.25,17.77,25.32,4918900.0,219415000.0,0.0,18.22,Real Estate,Real Estate Services,LPS Brasil - Consultoria de Imóveis S.A.,LOPES BRASILON      NM,True,211,155,366
367,PALF3,279.9,0.21,0.15,0.017,0.0,0.013,0.71,0.13,-0.02,3.3,2.83,12.99,8.21,1.07,12.19,70.49,0.0,1694930000.0,4.1,11.18,,,,,False,85,281,366
783,ODPV3,11.88,16.59,5.66,3.426,3.97,3.264,-678.11,10.74,-27.43,10.18,9.27,31.89,20.7,0.98,37.28,34.09,22556000.0,1115800000.0,0.0,6.18,Healthcare,Healthcare Plans,Odontoprev S.A.,ODONTOPREV  ON      NM,False,336,34,370
602,CGAS3,123.01,7.69,14.75,1.392,9.01,1.328,-41.84,6.39,-2.32,8.76,7.48,21.8,18.1,0.91,26.29,191.74,11341.1,1105220000.0,6.29,18.45,Utilities,Utilities—Regulated Gas,Companhia de Gás de São Paulo - COMGÁS,COMGAS      ON,False,297,74,371
668,CARD3,13.93,10.07,1.82,1.157,3.49,1.044,27.4,7.03,-9.07,7.22,4.19,16.46,11.5,1.14,19.32,18.07,3784190.0,320074000.0,0.35,1.47,Financial Services,Credit Services,CSU Cardsystem S.A.,CSU CARDSYSTON      NM,False,234,139,373
401,CLSC5,39.01,1.66,0.61,0.109,0.0,0.124,10.39,1.36,-0.25,2.34,1.93,8.03,6.58,1.04,11.21,36.91,0.0,2459540000.0,0.74,15.5,,,,,False,64,313,377
932,BSEV3,9.0,56.31,-10.76,0.889,0.0,0.776,-1.59,4.4,-1.02,7.59,3.7,20.19,1.58,0.39,20.66,-19.12,0.0,-853187000.0,-8.95,7.12,,,,,True,253,127,380
46,BRTP4,20.81,-39.19,1.43,0.681,0.0,0.399,5.23,3.51,-1.4,5.03,5.03,19.37,-2.96,1.29,13.41,-3.64,0.0,5302340000.0,0.91,3.66,,,,,False,143,239,382
598,CRPG3,75.78,7.62,2.53,2.256,0.0,1.84,3.69,9.73,5.31,8.78,7.94,23.18,29.59,5.15,24.33,33.15,184.83,870219000.0,0.0,12.56,Basic Materials,Chemicals,Tronox Pigmentos do Brasil S.A.,CRISTAL     ON,False,300,88,388
580,CAMB3,4.5,6.92,1.52,0.792,0.0,0.597,19.71,4.19,-3.09,6.21,5.37,18.92,11.49,1.08,15.62,21.91,140192.0,125424000.0,0.78,-5.95,Consumer Cyclical,Leisure,Cambuci S.A.,CAMBUCI     ON,True,189,199,388
385,MGEL3,25.0,0.69,-0.53,0.177,0.0,0.243,0.66,1.45,-0.29,8.04,6.75,12.21,25.79,2.44,22.45,-77.44,0.0,-271646000.0,-2.75,14.84,,,,,True,274,114,388
565,EKTR4,27.48,6.48,1.65,0.626,11.68,0.499,4.65,3.57,-1.39,6.51,5.42,17.53,9.66,1.47,15.96,25.42,7734.51,3234000000.0,1.55,8.88,Utilities,Utilities—Regulated Electric,Elektro Redes S.A.,ELEKTRO     PN,False,201,187,388
727,GETI3,14.45,13.19,3.44,1.916,0.0,1.314,-15.63,6.98,-3.19,8.2,6.76,27.43,14.52,0.71,22.7,26.09,0.0,1601130000.0,0.86,13.39,,,,,False,279,110,389
424,CLSC3,58.01,2.47,0.91,0.162,7.41,0.184,15.44,2.02,-0.38,3.0,2.47,8.03,6.58,1.04,11.21,36.91,17215.9,2459540000.0,0.74,15.5,Utilities,Utilities—Regulated Electric,Centrais Elétricas de Santa Catarina S.A.,CELESC      ON      N2,False,77,314,391
728,GETI4,14.46,13.2,3.44,1.917,0.0,1.315,-15.64,6.99,-3.2,8.2,6.76,27.43,14.52,0.71,22.7,26.09,0.0,1601130000.0,0.86,13.39,,,,,False,280,111,391
362,CREM4,48.0,0.11,0.01,0.002,0.0,0.002,0.02,0.03,-0.02,3.55,2.09,8.05,2.1,1.29,11.36,7.5,0.0,189701000.0,1.58,-0.27,,,,,True,88,309,397
525,TRPL4,25.35,5.53,1.16,3.018,10.98,0.576,6.63,4.23,-1.6,5.83,5.79,71.42,54.89,3.05,14.22,20.96,34169800.0,14399200000.0,0.52,17.16,Utilities,Utilities—Regulated Electric,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista S.A.,TRAN PAULISTPN      N1,False,175,223,398
435,CLSC4,64.3,2.73,1.01,0.18,7.36,0.204,17.12,2.24,-0.42,3.22,2.65,8.03,6.58,1.04,11.21,36.91,467543.0,2459540000.0,0.74,15.5,Utilities,Utilities—Regulated Electric,Centrais Elétricas de Santa Catarina S.A.,CELESC      PN      N2,False,82,316,398
386,SUZA4,13.9,0.74,0.6,0.07,0.0,0.023,0.17,0.21,-0.04,5.19,3.25,33.65,35.12,2.96,12.83,81.56,0.0,3999110000.0,17.12,41.16,,,,,False,149,251,400
729,WLMM3,34.0,13.25,2.33,0.715,2.02,1.901,4.97,10.93,6.3,9.51,9.2,6.54,5.39,4.65,24.33,17.62,0.0,530316000.0,0.01,35.45,Consumer Cyclical,Auto & Truck Dealerships,WLM Participações e Comércio de Máquinas e Veículos S.A.,WLM IND COM ON,False,316,89,405
541,FRAS4,5.79,5.96,1.15,0.488,0.0,0.409,1.6,3.89,-3.46,5.78,4.28,12.54,8.16,1.95,13.65,19.28,0.0,1095570000.0,0.89,30.27,,,,,False,171,234,405
468,CGRA4,36.0,3.76,0.91,1.192,3.81,0.679,1.96,6.33,2.65,5.59,4.92,18.82,31.72,3.17,12.96,24.08,246115.0,768149000.0,0.0,7.31,Consumer Cyclical,Department Stores,Grazziotin S.A.,GRAZZIOTIN  PN,False,162,248,410
518,CSRN5,17.0,5.36,1.89,0.79,13.24,0.55,-25.51,3.93,-1.29,6.64,5.62,20.11,14.74,0.93,15.45,35.23,333.05,1513000000.0,1.42,12.57,Utilities,Utilities—Regulated Electric,Companhia Energética do Rio Grande do Norte - COSERN,COSERN      PNA,False,210,203,413
522,CSRN3,17.15,5.41,1.91,0.797,11.93,0.555,-25.74,3.96,-1.31,6.68,5.64,20.11,14.74,0.93,15.45,35.23,22257.1,1513000000.0,1.42,12.57,Utilities,Utilities—Regulated Electric,Companhia Energética do Rio Grande do Norte - COSERN,COSERN      ON,False,214,201,415
291,ILLS4,100.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,8.43,-10.22,0.5,8.14,36.09,0.0,-18567000.0,-0.22,9.33,,,,,True,10,405,415
805,PRIO3,28.2,18.67,3.76,5.662,0.0,2.037,4.96,11.33,49.28,10.99,7.87,49.98,30.32,5.62,30.19,20.14,585456000.0,6620250000.0,0.59,65.27,Energy,Oil & Gas E&P,Petro Rio S.A.,PETRORIO    ON      NM,False,355,64,419
571,MOVI3,15.05,6.65,1.66,1.023,2.19,0.251,1.01,3.04,-0.59,6.92,5.62,33.69,15.37,2.44,15.47,24.95,42831800.0,3284470000.0,4.5,22.34,Industrials,Rental & Leasing Services,Movida Participações S.A.,MOVIDA      ON      NM,False,219,200,419
348,CESP4,16.29,0.0,0.0,0.002,0.0,0.0,0.02,0.0,-0.0,1.3,0.97,54.97,96.93,1.37,8.49,27.9,0.0,7485270000.0,0.26,10.03,,,,,False,25,396,421
738,ARCE3,54.0,14.01,2.6,2.461,0.0,1.726,11.33,8.89,102.03,9.07,9.07,27.7,19.46,1.97,22.04,18.59,0.0,13495400000.0,0.17,48.47,,,,,False,305,117,422
26,MAGG3,59.4,-119.98,1.32,0.684,0.0,0.44,9.32,4.07,-1.55,6.41,5.34,16.82,-0.57,1.14,14.05,-1.1,0.0,2246130000.0,1.03,9.27,,,,,False,196,226,422
702,NAFG3,64.37,11.8,2.76,1.102,0.0,1.153,3.2,7.35,60.48,8.64,6.57,14.99,9.28,2.52,19.92,23.42,0.0,316392000.0,0.81,9.49,,,,,False,292,131,423
473,CGRA3,37.3,3.89,0.94,1.235,3.68,0.703,2.03,6.56,2.75,5.82,5.12,18.82,31.72,3.17,12.96,24.08,45315.7,768149000.0,0.0,7.31,Consumer Cyclical,Department Stores,Grazziotin S.A.,GRAZZIOTIN  ON,False,174,249,423
703,NAFG4,64.42,11.81,2.76,1.103,0.0,1.154,3.2,7.36,60.52,8.65,6.57,14.99,9.28,2.52,19.92,23.42,0.0,316392000.0,0.81,9.49,,,,,False,293,130,423
74,ECOR3,6.38,-16.33,2.11,1.003,0.0,0.258,-3.16,2.35,-0.42,6.33,4.72,42.59,-6.19,0.76,13.8,-12.9,43151300.0,2109920000.0,5.16,10.8,Industrials,Infrastructure Operations,EcoRodovias Infraestrutura e Logística S.A.,ECORODOVIAS ON      NM,False,193,233,426
459,POSI3,7.73,3.57,0.92,0.349,4.41,0.33,1.05,4.41,1.9,5.8,4.94,7.91,9.89,1.63,12.61,25.86,28703500.0,1187040000.0,0.62,12.12,Technology,Computer Hardware,Positivo Tecnologia S.A.,POSITIVO TECON      NM,False,172,255,427
543,CSRN6,19.0,5.99,2.11,0.883,11.84,0.615,-28.51,4.39,-1.45,7.11,6.01,20.11,14.74,0.93,15.45,35.23,604.71,1513000000.0,1.42,12.57,Utilities,Utilities—Regulated Electric,Companhia Energética do Rio Grande do Norte - COSERN,COSERN      PNB,False,228,202,430
495,CPFP4,44.0,4.88,4.4,0.409,0.0,0.31,3.84,3.2,-0.51,5.72,4.9,12.81,8.4,1.34,12.34,90.16,0.0,531384000.0,4.95,33.44,,,,,False,166,264,430
560,TAEE3,13.7,6.4,2.12,4.078,10.96,0.891,19.72,5.31,-2.0,7.71,7.65,76.83,63.76,1.51,17.34,33.12,1011870.0,6684760000.0,1.02,36.61,Utilities,Utilities—Regulated Electric,Transmissora Aliança de Energia Elétrica S.A.,TAESA       ON      N2,False,259,172,431
561,TAEE4,13.71,6.4,2.12,4.081,10.95,0.891,19.73,5.31,-2.0,7.72,7.65,76.83,63.76,1.51,17.34,33.12,2131700.0,6684760000.0,1.02,36.61,Utilities,Utilities—Regulated Electric,Transmissora Aliança de Energia Elétrica S.A.,TAESA       PN      N2,False,261,171,432
660,UCAS3,3.76,9.62,1.5,1.218,5.68,0.917,4.6,8.87,7.37,6.83,5.14,13.73,12.65,1.63,14.76,15.62,177831.0,165283000.0,0.1,4.17,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Unicasa Indústria de Móveis S.A.,UNICASA     ON      NM,True,218,215,433
708,EVEN3,5.72,12.1,0.68,0.554,14.52,0.207,0.53,3.29,0.96,1.22,1.19,16.85,6.34,2.0,7.86,5.59,12274900.0,1790560000.0,0.2,8.02,Real Estate,Real Estate—Development,Even Construtora e Incorporadora S.A.,EVEN        ON      NM,False,20,415,435
562,TAEE11,41.32,6.43,2.13,4.1,10.9,0.896,19.82,5.34,-2.01,7.74,7.68,76.83,63.76,1.51,17.34,33.12,98594900.0,6684760000.0,1.02,36.61,Utilities,Utilities—Regulated Electric,Transmissora Aliança de Energia Elétrica S.A.,TAESA       UNT     N2,False,262,173,435
444,DOHL4,5.83,3.25,0.63,0.643,3.51,0.477,1.14,4.58,1.61,4.55,3.96,14.04,19.8,4.53,11.35,19.35,27849.1,702237000.0,0.07,8.84,Consumer Cyclical,Textile Manufacturing,Döhler S.A.,DOHLER      PN,False,126,310,436
683,BTTL3,20.19,10.68,7.92,0.546,0.0,1.535,19.75,9.55,-5.67,9.95,7.79,5.71,5.11,1.17,22.56,74.12,395854.0,37891000.0,1.12,39.72,,,,,True,328,112,440
117,TXRX4,6.72,-4.82,-0.09,0.192,0.0,0.134,-0.11,0.97,-0.07,9.5,8.12,19.93,-3.99,0.26,20.57,1.91,2879.17,-311100000.0,-0.81,15.22,Consumer Cyclical,Textile Manufacturing,Têxtil Renauxview S.A.,TEX RENAUX  PN,True,315,128,443
757,WLMM4,38.8,15.12,2.66,0.816,1.95,2.17,5.68,12.47,7.19,11.05,10.69,6.54,5.39,4.65,24.33,17.62,50956.5,530316000.0,0.01,35.45,Consumer Cyclical,Auto & Truck Dealerships,WLM Participações e Comércio de Máquinas e Veículos S.A.,WLM IND COM PN,False,358,90,448
647,SUZB3,57.33,9.05,5.18,1.905,1.29,0.656,3.46,4.74,-1.12,8.29,5.81,40.23,21.08,2.95,17.42,57.22,384487000.0,15075500000.0,5.28,42.43,Basic Materials,Paper & Paper Products,Suzano S.A.,SUZANO S.A. ON      NM,False,284,165,449
759,EQPA3,6.45,15.16,3.95,1.915,4.81,1.114,6.96,8.16,-4.11,9.36,7.85,23.48,12.63,1.56,18.92,26.05,59254.2,3607190000.0,1.3,8.38,Utilities,Utilities—Regulated Electric,Equatorial Pará Distribuidora de Energia S.A.,EQTL PARA   ON,False,312,141,453
523,CEEB3,34.5,5.42,1.46,0.634,17.67,0.371,14.28,3.04,-0.72,6.65,5.42,20.84,11.7,1.13,13.25,27.02,54078.9,6176000000.0,1.85,14.14,Utilities,Utilities—Regulated Electric,Companhia de Eletricidade do Estado da Bahia - COELBA,COELBA      ON,False,212,243,455
666,REDE3,6.96,9.86,3.96,1.004,14.04,0.61,8.07,4.78,-1.24,7.26,6.0,21.0,13.89,1.35,14.7,40.2,25304.4,3706950000.0,2.48,11.65,Utilities,Utilities—Regulated Electric,Rede Energia Participações S.A.,REDE ENERGIAON,False,238,217,455
592,TRPL3,33.51,7.31,1.53,3.99,8.3,0.762,8.77,5.59,-2.12,7.19,7.14,71.42,54.89,3.05,14.22,20.96,62037.2,14399200000.0,0.52,17.16,Utilities,Utilities—Regulated Electric,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista S.A.,TRAN PAULISTON      N1,False,231,224,455
528,COCE6,35.0,5.58,0.78,0.336,0.0,0.242,-17.99,2.43,-0.61,5.48,4.21,13.86,6.02,0.96,11.77,14.01,0.0,3486800000.0,1.07,13.61,,,,,False,158,298,456
655,TGMA3,15.29,9.39,1.51,0.994,5.14,0.995,3.66,8.2,7.81,8.06,6.83,12.11,10.55,2.39,16.29,16.07,4772260.0,668634000.0,0.3,-1.19,Industrials,Trucking,Tegma Gestão Logística S.A.,TEGMA       ON      NM,False,275,181,456
830,PCAR5,67.12,22.55,1.32,0.353,0.0,0.366,13.68,5.03,-1.19,5.24,3.3,7.01,1.87,1.08,11.57,5.88,0.0,13649000000.0,0.66,3.2,,,,,False,151,306,457
631,KLBN4,4.62,8.59,4.52,1.575,3.07,0.617,3.12,4.8,-1.23,8.67,5.78,32.81,20.66,2.49,17.36,52.61,3220770.0,5739570000.0,5.11,16.54,Basic Materials,Paper & Paper Products,Klabin S.A.,KLABIN S/A  PN      N2,False,294,168,462
771,EQPA7,6.62,15.56,4.05,1.966,4.68,1.143,7.14,8.37,-4.21,9.57,8.03,23.48,12.63,1.56,18.92,26.05,80.59,3607190000.0,1.3,8.38,Utilities,Utilities—Regulated Electric,Equatorial Pará Distribuidora de Energia S.A.,EQTL PARA   PNC,False,321,142,463
819,EGIE3,39.47,20.59,4.06,2.568,6.51,0.845,11.74,5.77,-1.49,8.45,7.12,44.51,12.48,1.47,17.28,19.72,52316800.0,7929010000.0,2.54,16.13,Utilities,Utilities—Regulated Electric,Engie Brasil Energia S.A.,ENGIE BRASILON      NM,False,289,176,465
551,CEEB5,39.0,6.12,1.66,0.717,0.0,0.419,16.15,3.44,-0.81,7.04,5.74,20.84,11.7,1.13,13.25,27.02,0.0,6176000000.0,1.85,14.14,Utilities,Utilities—Regulated Electric,Companhia de Eletricidade do Estado da Bahia - COELBA,COELBA      PNA,False,221,244,465
659,CAMB4,6.25,9.61,2.11,1.1,0.0,0.829,27.37,5.82,-4.29,7.84,6.78,18.92,11.49,1.08,15.62,21.91,0.0,125424000.0,0.78,-5.95,,,Cambuci S.A.,CAMBUCI     PN,True,267,198,465
657,EKTR3,40.0,9.43,2.4,0.911,7.29,0.726,6.76,5.2,-2.02,8.13,6.78,17.53,9.66,1.47,15.96,25.42,345.05,3234000000.0,1.55,8.88,Utilities,Utilities—Regulated Electric,Elektro Redes S.A.,ELEKTRO     ON,False,277,188,465
465,PTPA3,76.5,3.69,1.14,0.505,0.0,0.375,2.28,3.63,-1.27,7.06,5.33,13.93,13.69,1.79,13.27,30.85,0.0,1201690000.0,1.59,18.08,,,,,False,224,242,466
440,MARI3,2.93,3.04,0.76,0.346,0.0,0.384,0.95,4.99,1.65,4.89,4.89,6.94,11.37,2.23,10.67,25.13,0.0,706711000.0,0.32,11.89,,,,,False,138,328,466
566,EMAE4,43.6,6.49,2.0,3.24,4.26,1.024,3.92,8.96,-6.99,7.32,7.09,36.14,49.92,4.29,14.19,30.76,605512.0,807010000.0,0.0,28.11,Utilities,Utilities—Diversified,Empresa Metropolitana de Águas e Energia S.A.,EMAE        PN,False,241,225,466
809,SMLE3,92.82,18.88,21.91,6.635,0.0,6.477,-124.0,16.5,-42.31,16.32,13.2,40.22,35.14,0.91,46.17,116.04,0.0,524731000.0,0.0,36.83,,,,,False,453,15,468
720,DXTG4,3.68,13.02,1.32,0.675,0.0,0.689,2.44,6.26,7.48,6.33,6.33,10.78,6.6,2.77,12.31,10.1,0.0,768999000.0,0.04,8.3,,,,,False,194,275,469
